CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12347,5,39,20757.15,5,5,5,555,15,🏆 Champions
12348,15,34,19860.28,5,5,5,555,15,🏆 Champions
12349,56,45,24536.2,4,5,5,455,14,🏆 Champions
12350,11,42,23368.14,5,5,5,555,15,🏆 Champions
12351,19,40,18722.52,5,5,5,555,15,🏆 Champions
12352,38,38,17953.59,5,5,5,555,15,🏆 Champions
12353,25,38,21478.83,5,5,5,555,15,🏆 Champions
12354,56,26,11235.54,4,5,5,455,14,🏆 Champions
12355,37,46,23649.71,5,5,5,555,15,🏆 Champions
12356,21,36,18815.4,5,5,5,555,15,🏆 Champions
12357,32,41,19717.81,5,5,5,555,15,🏆 Champions
12358,46,42,20992.28,4,5,5,455,14,🏆 Champions
12359,15,48,22687.27,5,5,5,555,15,🏆 Champions
12360,22,39,22897.47,5,5,5,555,15,🏆 Champions
12361,19,26,13000.72,5,5,5,555,15,🏆 Champions
12362,49,34,18687.63,4,5,5,455,14,🏆 Champions
12363,35,32,17047.48,5,5,5,555,15,🏆 Champions
12364,39,40,17672.79,5,5,5,555,15,🏆 Champions
12365,32,22,12481.87,5,5,5,555,15,🏆 Champions
12366,28,49,26587.83,5,5,5,555,15,🏆 Champions
12367,28,25,11251.96,5,5,5,555,15,🏆 Champions
12368,9,49,29388.54,5,5,5,555,15,🏆 Champions
12369,14,31,16201.66,5,5,5,555,15,🏆 Champions
12370,19,25,15003.54,5,5,5,555,15,🏆 Champions
12371,19,33,16741.86,5,5,5,555,15,🏆 Champions
12372,11,36,20616.78,5,5,5,555,15,🏆 Champions
12373,17,50,23817.44,5,5,5,555,15,🏆 Champions
12374,8,40,22273.87,5,5,5,555,15,🏆 Champions
12375,32,38,19621.47,5,5,5,555,15,🏆 Champions
12376,12,45,22039.46,5,5,5,555,15,🏆 Champions
12377,30,42,22216.37,5,5,5,555,15,🏆 Champions
12378,21,35,19251.85,5,5,5,555,15,🏆 Champions
12379,12,31,19304.45,5,5,5,555,15,🏆 Champions
12380,17,33,16754.32,5,5,5,555,15,🏆 Champions
12381,34,34,16040.93,5,5,5,555,15,🏆 Champions
12382,29,47,26521.19,5,5,5,555,15,🏆 Champions
12383,40,34,17471.03,5,5,5,555,15,🏆 Champions
12384,18,49,26758.66,5,5,5,555,15,🏆 Champions
